,ticket,year,month,day,time,open,high,low,close,volume
0,NVDA,2021,1,29,19:55:00,12.9095,12.9095,12.9095,12.9095,4600
1,NVDA,2021,1,29,19:50:00,12.9219,12.9307,12.9219,12.9307,30760
2,NVDA,2021,1,29,19:45:00,12.9282,12.9282,12.9282,12.9282,4000
3,NVDA,2021,1,29,19:40:00,12.9282,12.9282,12.9282,12.9282,16040
4,NVDA,2021,1,29,19:35:00,12.9157,12.9157,12.9157,12.9157,8000
5,NVDA,2021,1,29,19:30:00,12.9382,12.9382,12.9382,12.9382,4000
6,NVDA,2021,1,29,19:25:00,12.9279,12.9279,12.9279,12.9279,12640
7,NVDA,2021,1,29,19:10:00,12.91,12.91,12.91,12.91,5960
8,NVDA,2021,1,29,19:05:00,12.9125,12.9125,12.9125,12.9125,12000
9,NVDA,2021,1,29,19:00:00,12.9162,12.9162,12.9157,12.9157,21520
10,NVDA,2021,1,29,18:45:00,12.9279,12.9279,12.9257,12.9257,103560
11,NVDA,2021,1,29,18:35:00,12.9279,12.9279,12.9279,12.9279,4000
12,NVDA,2021,1,29,18:25:00,12.9257,12.9257,12.9232,12.9232,10960
13,NVDA,2021,1,29,18:20:00,12.9279,12.9279,12.9279,12.9279,10000
14,NVDA,2021,1,29,18:05:00,12.9157,12.9157,12.9157,12.9157,6320
15,NVDA,2021,1,29,17:55:00,12.9279,12.9279,12.9279,12.9279,4000
16,NVDA,2021,1,29,17:45:00,12.9175,12.9175,12.9175,12.9175,7360
17,NVDA,2021,1,29,17:25:00,12.9354,12.9381,12.9354,12.9381,17360
18,NVDA,2021,1,29,17:20:00,12.9382,12.9382,12.9382,12.9382,8000
19,NVDA,2021,1,29,17:10:00,12.9157,12.9157,12.9157,12.9157,13080
20,NVDA,2021,1,29,17:05:00,12.9075,12.9075,12.9075,12.9075,11040
21,NVDA,2021,1,29,17:00:00,12.9157,12.9157,12.9157,12.9157,4000
22,NVDA,2021,1,29,16:55:00,12.8935,12.9075,12.8935,12.9075,44000
23,NVDA,2021,1,29,16:50:00,12.9152,12.9157,12.8925,12.9157,91600
24,NVDA,2021,1,29,16:45:00,12.9219,12.9282,12.9032,12.9282,138840
25,NVDA,2021,1,29,16:40:00,12.9282,12.9394,12.9282,12.9282,27840
26,NVDA,2021,1,29,16:35:00,12.9406,12.9554,12.9406,12.9554,814000
27,NVDA,2021,1,29,16:25:00,12.9531,12.9531,12.9516,12.9516,40000
28,NVDA,2021,1,29,16:20:00,12.9519,12.9519,12.9499,12.9499,32000
29,NVDA,2021,1,29,16:15:00,12.9406,12.9519,12.9406,12.9501,53880
30,NVDA,2021,1,29,16:10:00,12.9406,12.9554,12.9406,12.9406,233600
31,NVDA,2021,1,29,16:05:00,12.9554,13.0175,12.9234,12.9234,628680
32,NVDA,2021,1,29,16:00:00,12.9554,13.0922,12.9282,12.9554,19202640
33,NVDA,2021,1,29,15:55:00,13.0324,13.0515,12.9289,12.9414,8559200
34,NVDA,2021,1,29,15:50:00,12.996,13.0566,12.9905,13.0267,3904120
35,NVDA,2021,1,29,15:45:00,13.0307,13.0324,12.9773,12.9977,2043800
36,NVDA,2021,1,29,15:40:00,13.0279,13.0582,13.0219,13.0344,1416920
37,NVDA,2021,1,29,15:35:00,13.0853,13.0855,13.0254,13.0254,1970400
38,NVDA,2021,1,29,15:30:00,13.0371,13.091,13.0371,13.0785,2023000
39,NVDA,2021,1,29,15:25:00,13.0494,13.0593,13.0167,13.0354,1211960
40,NVDA,2021,1,29,15:20:00,13.0546,13.0691,13.0426,13.0461,1336160
41,NVDA,2021,1,29,15:15:00,13.0423,13.0573,13.0287,13.0491,1075160
42,NVDA,2021,1,29,15:10:00,13.0147,13.0479,13.0133,13.0389,2169120
43,NVDA,2021,1,29,15:05:00,13.011,13.0202,12.9945,13.014,1607480
44,NVDA,2021,1,29,15:00:00,12.9399,13.0132,12.9399,13.0092,1587320
45,NVDA,2021,1,29,14:55:00,12.9204,12.9561,12.9162,12.9362,902120
46,NVDA,2021,1,29,14:50:00,12.9207,12.9516,12.9207,12.9214,490160
47,NVDA,2021,1,29,14:45:00,12.9314,12.9453,12.9192,12.9252,731080
48,NVDA,2021,1,29,14:40:00,12.9162,12.9556,12.8903,12.9332,1512400
49,NVDA,2021,1,29,14:35:00,12.9195,12.9392,12.9066,12.9197,830600
50,NVDA,2021,1,29,14:30:00,12.9475,12.9475,12.902,12.9177,1436920
51,NVDA,2021,1,29,14:25:00,12.9541,12.9653,12.9426,12.9534,668200
52,NVDA,2021,1,29,14:20:00,12.97,12.97,12.9411,12.9561,365080
53,NVDA,2021,1,29,14:15:00,12.9651,12.9708,12.9456,12.9626,599760
54,NVDA,2021,1,29,14:10:00,12.9707,12.9773,12.9486,12.9668,763920
55,NVDA,2021,1,29,14:05:00,12.9357,12.9813,12.9251,12.9736,1184960
56,NVDA,2021,1,29,14:00:00,12.92,12.9716,12.92,12.9396,1504920
57,NVDA,2021,1,29,13:55:00,12.9254,12.9332,12.894,12.9264,1394280
58,NVDA,2021,1,29,13:50:00,12.9272,12.9364,12.9117,12.9227,683800
59,NVDA,2021,1,29,13:45:00,12.9693,12.98,12.9162,12.9195,1602880
60,NVDA,2021,1,29,13:40:00,12.9618,12.988,12.9501,12.9713,1413040
61,NVDA,2021,1,29,13:35:00,12.9746,12.9933,12.9545,12.9672,1550200
62,NVDA,2021,1,29,13:30:00,13.0012,13.0042,12.9616,12.9743,1193120
63,NVDA,2021,1,29,13:25:00,12.9526,13.0037,12.9416,12.9967,1574800
64,NVDA,2021,1,29,13:20:00,12.8923,12.9529,12.8853,12.9501,1222200
